movie_title,num_critic_for_reviews,duration,DIRECTOR_facebook_likes,actor_3_facebook_likes,ACTOR_1_facebook_likes,gross,num_voted_users,Cast_Total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,ACTOR_2_facebook_likes,imdb_score,title_year
Avatar??,723,178,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2009
Pirates of the Caribbean: At World's End??,302,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Spectre??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2015
The Dark Knight Rises??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
John Carter??,462,132,"""475""",530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,
Spider-Man 3??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2007
Tangled??,324,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Avengers: Age of Ultron??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,
Avengers: Age of Ultron??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,2015
Harry Potter and the Half-Blood Prince??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Batman v Superman: Dawn of Justice??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2016
Superman Returns??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
Quantum of Solace??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2008
Pirates of the Caribbean: Dead Man's Chest??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2005
The Notebook??,729,200,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2008
Pirates??,308,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
The Hate you give??,609,148,20,161,11000,200074175,1039645,11700,1,994,245000000,2015,393,6.8,2019
Dilwale??,812,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Parasite??,469,132,"""372""",530,640,73058679,321856,1873,2,738,263700000,2012,632,6.6,
Titanic??,393,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2006
casablanca??,328,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Avengers??,637,141,10,19000,26000,458991599,462669,92000,2,1117,250000000,2015,21000,7.5,
A star is born??,636,141,10,19000,26000,458991599,462669,92000,3,1117,250000000,2015,21000,7.5,2003
Harry Potter??,378,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
The Farewell??,676,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2002
Dust??,436,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
Solace??,406,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2010
Rebel??,316,151,563,1000,40000,423032628,321856,48486,2,1832,225000000,2006,5000,7.3,2015
Carmen Jones??,721,225,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2003
Promising Young Women??,307,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Peers??,609,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2004
Rear Window??,818,,22000,23000,27000,448130642,1039645,106759,,2701,250000000,2012,23000,8.5,
Windows??,461,132,"""278""",530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,
World's End??,397,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2010
Detangled??,329,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Age of Prisoner??,634,141,10,19000,26000,458991599,462669,92000,2,1117,250000000,2015,21000,7.5,
Walk past it??,630,141,10,19000,26000,458991599,321856,92000,2,1117,250000000,2015,21000,7.5,2005
Harry Potter and the Half-Blood Prince??,378,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Distance??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2016
Brave Men??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
Fiction??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2015
Thriller??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2009
Let Her??,723,190,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2010
Ocean??,302,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Whale??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2003
Night Rises??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Bartender??,462,132,"""475""",530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,
Alerted??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2008
Hey??,324,,15,284,799,200807262,321856,,1,387,260000000,2010,553,7.8,
Ice Age??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,
London Bridge??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,2006
Half-Blood??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Prince??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2010
Rains??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
Trainspotting??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2008
Hate??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2016
Love??,723,250,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2009
Peace??,302,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Legally Blonde??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2008
Psycho??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Lady Bird??,462,132,"""496""",530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,
Got Mail??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2015
The Sound??,324,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Get Out??,635,141,10,19000,26000,458991599,462669,92000,2,1117,250000000,2015,21000,7.5,
Lights Out??,635,141,10,19000,26000,458991599,462669,92000,2,1117,250000000,2015,21000,7.5,2007
Moonlight??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Her??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2008
Returns??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
Quantum??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2016
Dead Man's Chest??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2010
Godfather??,723,178,10,855,1000,760505847,886204,4834,,3054,237000000,2009,936,7.9,2015
Silver Lining??,302,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Playbook??,602,148,20,161,11000,200074175,275868,11700,4,994,245000000,2015,393,6.8,2019
Boyhood??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Angry Men??,462,132,"""322""",530,640,73058679,212204,1873,4,738,263700000,2012,632,6.6,
Mean Girls??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2005
Little Women??,324,,15,284,799,200807262,321856,,1,387,260000000,2010,553,7.8,
Eternal shine??,635,141,10,19000,26000,458991599,321795,92000,2,1117,250000000,2015,21000,7.5,
Do it??,635,141,10,19000,26000,458991599,321795,92000,2,1117,250000000,2015,21000,7.5,2008
Right Away??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Brokeback??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2005
Mountains??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
In the mood for love??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2015
Hatered??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2006
Big Bull??,723,200,10,855,1000,760505847,383042,4834,,3054,237000000,2009,936,7.9,2007
Scam??,302,,563,1000,40000,309404152,383056,48350,,1238,300000000,2007,5000,7.1,
Either of You??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2016
Towards the eternity??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Love never dies??,462,132,"""522""",530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,
Womanhood??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2009
Glitch??,324,,15,284,799,200807262,1039645,,4,387,260000000,2010,553,7.8,
Ultraedge??,635,141,10,19000,26000,458991599,383056,92000,4,1117,250000000,2015,21000,7.5,
Intrusion??,635,141,10,19000,26000,458991599,462669,92000,1,1117,250000000,2015,21000,7.5,2017
Harry met Sejal??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Coward??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2015
Human Nature??,434,169,,903,18000,200069408,240396,,2,2367,209000000,2006,10000,6.1,
The Eart??,403,106,395,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2006
Lift??,313,151,563,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2007
The Shining??,723,178,10,855,1000,760505847,1039645,4834,,3054,237000000,2009,936,7.9,2010
Annihilation??,302,,563,1000,40000,309404152,471220,48350,,1238,300000000,2007,5000,7.1,
Monty Python??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2017
Life is Beautiful??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Jurassic Park??,462,132,"""515""",530,640,73058679,383056,1873,1,738,263700000,2012,632,6.6,
Minari??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2009
Roman Holiday??,324,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Before??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,
Sunrise??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,2016
His Girl??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Friday??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2015
Carrie??,434,169,,903,18000,200069408,1039645,,2,2367,209000000,2006,10000,6.1,
Jaws??,403,106,368,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2006
Rocky??,313,151,576,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2007
